 # k, pm_lin, pm_lin_IR, pm_1loop_IR, pb1b2, pb1bG2, pb1bGamma3, pb22, pb2bg2, pbg22
 6.445700e-03 1.763000e+04 1.763002e+04 1.761598e+04 -9.842451e-01 -2.069866e+00 -9.062377e+01 -2.717226e+00 -6.500063e+01 5.965955e+00 
 6.538400e-03 1.778400e+04 1.778402e+04 1.776946e+04 -9.779222e-01 -2.183186e+00 -9.397520e+01 -2.794699e+00 -6.680436e+01 6.255879e+00 
 6.632500e-03 1.793800e+04 1.793802e+04 1.792293e+04 -9.697066e-01 -2.302570e+00 -9.744309e+01 -2.874404e+00 -6.865731e+01 6.559274e+00 
 6.727900e-03 1.809100e+04 1.809102e+04 1.807538e+04 -9.594867e-01 -2.428144e+00 -1.010254e+02 -2.956306e+00 -7.055829e+01 6.876310e+00 
 6.824700e-03 1.824500e+04 1.824502e+04 1.822881e+04 -9.470860e-01 -2.560353e+00 -1.047313e+02 -3.040527e+00 -7.251009e+01 7.207831e+00 
 6.922900e-03 1.839800e+04 1.839802e+04 1.838122e+04 -9.323536e-01 -2.699502e+00 -1.085612e+02 -3.127109e+00 -7.451357e+01 7.554376e+00 
 7.022500e-03 1.855100e+04 1.855102e+04 1.853362e+04 -9.151483e-01 -2.845834e+00 -1.125184e+02 -3.216109e+00 -7.656951e+01 7.916483e+00 
 7.123600e-03 1.870400e+04 1.870402e+04 1.868599e+04 -8.952574e-01 -2.999850e+00 -1.166118e+02 -3.307654e+00 -7.868085e+01 8.295103e+00 
 7.226100e-03 1.885600e+04 1.885602e+04 1.883734e+04 -8.725890e-01 -3.161956e+00 -1.208370e+02 -3.401732e+00 -8.084697e+01 8.690752e+00 
 7.330000e-03 1.900800e+04 1.900802e+04 1.898867e+04 -8.467522e-01 -3.332948e+00 -1.252078e+02 -3.498463e+00 -8.306996e+01 9.104523e+00 
 7.435500e-03 1.916000e+04 1.916002e+04 1.913998e+04 -8.176585e-01 -3.512944e+00 -1.297255e+02 -3.598002e+00 -8.535321e+01 9.537153e+00 
 7.542500e-03 1.930900e+04 1.930902e+04 1.928827e+04 -7.851626e-01 -3.702125e+00 -1.343805e+02 -3.700299e+00 -8.769549e+01 9.988865e+00 
 7.651000e-03 1.946000e+04 1.946002e+04 1.943853e+04 -7.490632e-01 -3.900989e+00 -1.391955e+02 -3.805405e+00 -9.009768e+01 1.046031e+01 
 7.761100e-03 1.961000e+04 1.961002e+04 1.958777e+04 -7.091100e-01 -4.110167e+00 -1.441682e+02 -3.913471e+00 -9.256295e+01 1.095264e+01 
 7.872800e-03 1.975900e+04 1.975902e+04 1.973599e+04 -6.650804e-01 -4.330065e+00 -1.493009e+02 -4.024570e+00 -9.509222e+01 1.146656e+01 
 7.986000e-03 1.990800e+04 1.990802e+04 1.988418e+04 -6.167833e-01 -4.560933e+00 -1.545953e+02 -4.138662e+00 -9.768415e+01 1.200234e+01 
 8.101000e-03 2.005600e+04 2.005602e+04 2.003135e+04 -5.638382e-01 -4.803929e+00 -1.600666e+02 -4.256092e+00 -1.003466e+02 1.256217e+01 
 8.217500e-03 2.020300e+04 2.020302e+04 2.017749e+04 -5.061344e-01 -5.058937e+00 -1.657022e+02 -4.376616e+00 -1.030736e+02 1.314537e+01 
 8.335700e-03 2.034900e+04 2.034902e+04 2.032260e+04 -4.433172e-01 -5.326863e+00 -1.715160e+02 -4.500520e+00 -1.058706e+02 1.375372e+01 
 8.455700e-03 2.049400e+04 2.049402e+04 2.046669e+04 -3.750281e-01 -5.608545e+00 -1.775156e+02 -4.627973e+00 -1.087413e+02 1.438863e+01 
 8.577300e-03 2.063800e+04 2.063803e+04 2.060975e+04 -3.011097e-01 -5.904045e+00 -1.836965e+02 -4.758819e+00 -1.116817e+02 1.504983e+01 
 8.700800e-03 2.078200e+04 2.078202e+04 2.075278e+04 -2.207780e-01 -6.215327e+00 -1.900903e+02 -4.893541e+00 -1.147019e+02 1.574093e+01 
 8.825900e-03 2.092400e+04 2.092402e+04 2.089378e+04 -1.339547e-01 -6.542146e+00 -1.966690e+02 -5.031862e+00 -1.177951e+02 1.646093e+01 
 8.952900e-03 2.106400e+04 2.106403e+04 2.103275e+04 -4.029871e-02 -6.885522e+00 -2.034486e+02 -5.174143e+00 -1.209685e+02 1.721176e+01 
 9.081800e-03 2.120400e+04 2.120402e+04 2.117169e+04 6.055204e-02 -7.246162e+00 -2.104451e+02 -5.320464e+00 -1.242233e+02 1.799441e+01 
 9.212400e-03 2.134200e+04 2.134202e+04 2.130860e+04 1.688022e-01 -7.624208e+00 -2.176436e+02 -5.470590e+00 -1.275552e+02 1.880865e+01 
 9.345000e-03 2.147900e+04 2.147902e+04 2.144447e+04 2.850734e-01 -8.021252e+00 -2.250634e+02 -5.625006e+00 -1.309732e+02 1.965735e+01 
