# k P_{11} P_{nw} P_{m,LO}, P_{m,NLO}
2.689599999999999977e-02 2.168000000000000000e+04 2.127847736113820793e+04 2.167139142694055408e+04 2.147450154884681251e+04
2.728300000000000169e-02 2.149100000000000000e+04 2.110189933798901984e+04 2.148241864145217551e+04 2.128358565619588626e+04
2.767599999999999921e-02 2.129800000000000000e+04 2.092306644846596464e+04 2.128949389391624209e+04 2.108878557951528637e+04
2.807400000000000173e-02 2.110100000000000000e+04 2.074267185093481385e+04 2.109263789590257147e+04 2.089010307886482769e+04
2.847799999999999984e-02 2.089900000000000000e+04 2.056049331580902799e+04 2.089087423555150599e+04 2.068653066481052520e+04
2.888800000000000048e-02 2.069400000000000000e+04 2.037675733847368610e+04 2.068616656656944178e+04 2.048009277431184455e+04
2.930299999999999919e-02 2.048500000000000000e+04 2.019212545072678040e+04 2.047756167791307234e+04 2.026977910911848085e+04
2.972500000000000142e-02 2.027300000000000000e+04 2.000591692647324453e+04 2.026602253099351583e+04 2.005660734628482896e+04
3.015200000000000172e-02 2.005700000000000000e+04 1.981921318245486327e+04 2.005061056794559408e+04 1.983956056115565298e+04
3.058599999999999861e-02 1.983900000000000000e+04 1.963132879785912155e+04 1.983326024738906926e+04 1.962066876186859372e+04
3.102600000000000149e-02 1.961800000000000000e+04 1.944288174693517431e+04 1.961302172376749149e+04 1.939891690168811328e+04
3.147300000000000098e-02 1.939400000000000000e+04 1.925361879515107648e+04 1.938989512079065753e+04 1.917430929390068923e+04
3.192600000000000299e-02 1.916900000000000000e+04 1.906412778953103043e+04 1.916584587669316898e+04 1.894886530954277987e+04
3.238499999999999712e-02 1.894100000000000000e+04 1.887455477212124242e+04 1.893894463112949234e+04 1.872055517563904868e+04
3.285099999999999826e-02 1.871200000000000000e+04 1.868462996638312688e+04 1.871112920891963950e+04 1.849140467736724531e+04
3.332399999999999946e-02 1.848200000000000000e+04 1.849449456671579173e+04 1.848240885977238941e+04 1.826140707357972133e+04
3.380299999999999971e-02 1.825100000000000000e+04 1.830467338516456221e+04 1.825280634374734655e+04 1.803054788141706740e+04
3.429000000000000103e-02 1.802000000000000000e+04 1.811449559750656772e+04 1.802327086769503512e+04 1.779984951110310067e+04
3.478300000000000142e-02 1.778800000000000000e+04 1.792485462507169723e+04 1.779287180350559720e+04 1.756827755333389723e+04
3.528300000000000186e-02 1.755700000000000000e+04 1.773546054913758417e+04 1.756353345532670210e+04 1.733786411473854969e+04
3.579100000000000337e-02 1.732500000000000000e+04 1.754603848367097089e+04 1.733332246230425517e+04 1.710658086194284624e+04
3.630599999999999800e-02 1.709500000000000000e+04 1.735705719925458106e+04 1.710514726937274099e+04 1.687745696183393375e+04
3.682799999999999963e-02 1.686500000000000000e+04 1.716859612537750218e+04 1.687708932564446877e+04 1.664844870526252271e+04
3.735800000000000232e-02 1.663700000000000000e+04 1.698037536345926856e+04 1.665106150839780094e+04 1.642158356685813851e+04
3.789599999999999913e-02 1.641000000000000000e+04 1.679247813811583183e+04 1.642610747139478553e+04 1.619583032484747855e+04
3.844100000000000295e-02 1.618600000000000000e+04 1.660532181114041305e+04 1.620415942617584551e+04 1.597319813984524808e+04
3.899400000000000088e-02 1.596300000000000000e+04 1.641862520361083807e+04 1.598329047096362956e+04 1.575164549468249425e+04
3.955499999999999988e-02 1.574300000000000000e+04 1.623245382172724385e+04 1.576541397278464137e+04 1.553319027657692459e+04
4.012399999999999994e-02 1.552600000000000000e+04 1.604686810159495872e+04 1.555052719747655283e+04 1.531781470934794379e+04
4.070200000000000207e-02 1.531200000000000000e+04 1.586160608040139778e+04 1.533861296713866977e+04 1.510551035611055522e+04
4.128699999999999731e-02 1.510200000000000000e+04 1.567736030590514929e+04 1.513064622504769250e+04 1.489725856610172377e+04
4.188100000000000156e-02 1.489500000000000000e+04 1.549354840555864757e+04 1.492564189297817393e+04 1.469204219018378899e+04
4.248400000000000093e-02 1.469200000000000000e+04 1.531023080451231908e+04 1.472454285474500830e+04 1.449086236357718190e+04
4.309500000000000136e-02 1.449300000000000000e+04 1.512776033434623605e+04 1.452735426718712188e+04 1.429368905700007417e+04
4.371499999999999692e-02 1.429900000000000000e+04 1.494588405786226758e+04 1.433499628588709857e+04 1.410153039131950936e+04
4.434400000000000147e-02 1.410900000000000000e+04 1.476465276570671085e+04 1.414651086226657208e+04 1.391334096105001481e+04
4.498200000000000115e-02 1.392300000000000000e+04 1.458411450118066932e+04 1.396188665208639759e+04 1.372909649022493977e+04
4.562900000000000289e-02 1.374300000000000000e+04 1.440431481030856958e+04 1.378299070004781061e+04 1.355082166480228807e+04
4.628600000000000075e-02 1.356700000000000000e+04 1.422502652287079036e+04 1.360790937358357951e+04 1.337646581808236624e+04
4.695200000000000068e-02 1.339600000000000000e+04 1.404657104482341310e+04 1.343757990099750714e+04 1.320703236324131285e+04
4.762799999999999673e-02 1.323000000000000000e+04 1.386872676476280139e+04 1.327196710629420522e+04 1.304252071220319158e+04
4.831300000000000178e-02 1.306900000000000000e+04 1.369180125706343824e+04 1.311106530763680712e+04 1.288291094820709259e+04
4.900800000000000295e-02 1.291300000000000000e+04 1.351557889029740363e+04 1.295483691136668858e+04 1.272819332811497225e+04
4.971300000000000024e-02 1.276100000000000000e+04 1.334010770631383821e+04 1.280232984247009881e+04 1.257731942623246687e+04
5.042800000000000060e-02 1.261500000000000000e+04 1.316543400789307998e+04 1.265537878269709654e+04 1.243231705994080949e+04
5.115399999999999808e-02 1.247300000000000000e+04 1.299136494861602296e+04 1.251208640169635146e+04 1.229112485675468452e+04
5.188999999999999863e-02 1.233600000000000000e+04 1.281819004637380203e+04 1.237337055852091908e+04 1.215475852118173134e+04
5.263700000000000323e-02 1.220400000000000000e+04 1.264572205324622701e+04 1.223918635614325831e+04 1.202323412837381693e+04
5.339399999999999702e-02 1.207600000000000000e+04 1.247423834262231867e+04 1.210860288863543428e+04 1.189553767060168320e+04
5.416200000000000181e-02 1.195100000000000000e+04 1.230355729031231749e+04 1.198066316890382950e+04 1.177066544273692853e+04
5.494099999999999678e-02 1.183000000000000000e+04 1.213372869462021845e+04 1.185626229565226640e+04 1.164966008890036937e+04
5.573199999999999682e-02 1.171300000000000000e+04 1.196458896909064970e+04 1.173535598314630079e+04 1.153253643988914882e+04
5.653400000000000092e-02 1.159800000000000000e+04 1.179640466535852465e+04 1.161611705841522962e+04 1.141724239479616881e+04
5.734700000000000214e-02 1.148600000000000000e+04 1.162922065751291848e+04 1.149943850196409039e+04 1.130482863235216064e+04
5.817200000000000149e-02 1.137600000000000000e+04 1.146288064571137147e+04 1.138437654889740588e+04 1.119430561305174160e+04
5.900899999999999895e-02 1.126800000000000000e+04 1.129743824070840856e+04 1.127091632088167171e+04 1.108572542147229069e+04
5.985800000000000148e-02 1.116100000000000000e+04 1.113294522536270961e+04 1.115814442767568107e+04 1.097811771534384025e+04
6.072000000000000314e-02 1.105400000000000000e+04 1.096926358145472659e+04 1.104513840943919058e+04 1.087051538543634524e+04
6.159300000000000191e-02 1.094800000000000000e+04 1.080682120011046027e+04 1.093283199220646384e+04 1.076400390233390499e+04
6.248000000000000081e-02 1.084100000000000000e+04 1.064511171448279856e+04 1.081937855929224861e+04 1.065658906266736631e+04
6.337900000000000478e-02 1.073300000000000000e+04 1.048455532231935467e+04 1.070482959895919521e+04 1.054833239014418359e+04
6.428999999999999992e-02 1.062400000000000000e+04 1.032519447365746237e+04 1.058919779383320019e+04 1.043931553544352028e+04
6.521499999999999519e-02 1.051300000000000000e+04 1.016673077017401556e+04 1.047157360216482994e+04 1.032860706985593788e+04
6.615400000000000447e-02 1.039900000000000000e+04 1.000922433165812981e+04 1.035110281603132353e+04 1.021527350753745122e+04
6.710599999999999898e-02 1.028200000000000000e+04 9.852895381885013194e+03 1.022784209199195902e+04 1.009940909214420390e+04
6.807100000000000650e-02 1.016100000000000000e+04 9.697788933351170272e+03 1.010095872871206120e+04 9.980071991092330791e+03
6.905100000000000127e-02 1.003600000000000000e+04 9.543636710578608472e+03 9.970458168336208473e+03 9.857367248881222622e+03
7.004399999999999515e-02 9.907399999999999636e+03 9.390804215615489738e+03 9.836783073126212912e+03 9.731789581026720043e+03
7.105200000000000404e-02 9.773500000000000000e+03 9.239032097491217428e+03 9.698478105263897305e+03 9.601688476001523668e+03
7.207399999999999918e-02 9.634500000000000000e+03 9.088522050073095670e+03 9.555810128033144792e+03 9.467358689088461688e+03
7.311099999999999544e-02 9.490399999999999636e+03 8.939175404663386871e+03 9.408830688236812421e+03 9.328899351248965104e+03
7.416300000000000670e-02 9.340799999999999272e+03 8.791043123564437337e+03 9.257278681712732578e+03 9.185973679443775836e+03
7.523000000000000520e-02 9.185899999999999636e+03 8.644173573985683106e+03 9.101409849339686843e+03 9.038851544072478646e+03
7.631300000000000583e-02 9.025700000000000728e+03 8.498479555609710587e+03 8.941289572294124810e+03 8.887592827494290759e+03
7.741099999999999370e-02 8.860200000000000728e+03 8.354143376001709839e+03 8.777034050109587042e+03 8.732213009198694635e+03
7.852399999999999658e-02 8.689899999999999636e+03 8.211205577955228364e+03 8.609156155497334112e+03 8.573240116803261117e+03
7.965400000000000258e-02 8.515000000000000000e+03 8.069456243270577033e+03 8.437869663789477272e+03 8.410904814510884535e+03
8.079999999999999682e-02 8.336100000000000364e+03 7.929069439319635421e+03 8.263787801179541930e+03 8.245782326098924386e+03
8.196299999999999419e-02 8.153699999999999818e+03 7.789968386282312167e+03 8.087388664519431586e+03 8.078354852424030469e+03
8.314199999999999369e-02 7.968399999999999636e+03 7.652315600208225987e+03 7.909272203562270079e+03 7.909146355795280215e+03
8.433899999999999730e-02 7.781100000000000364e+03 7.515921827594448587e+03 7.730203986961100782e+03 7.739025833281922132e+03
8.555200000000000304e-02 7.592399999999999636e+03 7.381056387146597444e+03 7.550785360653654607e+03 7.568442698486901463e+03
8.678299999999999903e-02 7.403500000000000000e+03 7.247535393956617554e+03 7.371996194665036455e+03 7.398525074112783841e+03
8.803199999999999914e-02 7.215100000000000364e+03 7.115402568606288696e+03 7.194443040154580558e+03 7.229815541710072466e+03
8.929800000000000237e-02 7.028199999999999818e+03 6.984800453167134037e+03 7.018977116974389901e+03 7.063125183723860573e+03
9.058299999999999685e-02 6.843600000000000364e+03 6.855560440568502599e+03 6.846206726804578466e+03 6.899105299573160664e+03
9.188599999999999546e-02 6.662500000000000000e+03 6.727821753849791094e+03 6.677099194894588436e+03 6.738743649538174395e+03
9.320900000000000019e-02 6.485600000000000364e+03 6.601427648025375674e+03 6.512144542376649042e+03 6.582560513412286127e+03
9.454999999999999516e-02 6.313899999999999636e+03 6.476605506807390157e+03 6.352130201139927522e+03 6.431296419835531196e+03
9.590999999999999526e-02 6.148199999999999818e+03 6.353291869645685438e+03 6.197602457510214663e+03 6.285545477423102056e+03
9.729000000000000148e-02 5.989199999999999818e+03 6.231429963652166407e+03 6.049011236437331718e+03 6.145801153284799511e+03
9.868999999999999995e-02 5.837600000000000364e+03 6.111054172956348339e+03 5.906806970080817337e+03 6.012548260952579767e+03
1.001100000000000045e-01 5.693899999999999636e+03 5.992195808486461829e+03 5.771270426039742233e+03 5.886079645299045296e+03
1.015500000000000014e-01 5.558399999999999636e+03 5.874883195101780984e+03 5.642518201687609690e+03 5.766498665124727268e+03
1.030100000000000043e-01 5.431399999999999636e+03 5.759141727441115108e+03 5.520654130464014088e+03 5.653930422769135475e+03
1.044899999999999995e-01 5.313199999999999818e+03 5.644993981271861230e+03 5.405768890867243499e+03 5.548530630229109192e+03
1.059999999999999970e-01 5.203600000000000364e+03 5.531719976453085110e+03 5.297385970115795317e+03 5.450070189355294133e+03
1.075200000000000045e-01 5.102500000000000000e+03 5.420836888997815549e+03 5.195689599968554830e+03 5.358200799458365509e+03
1.090700000000000003e-01 5.009399999999999636e+03 5.310899348273006581e+03 5.099794611272798647e+03 5.272569283859580537e+03
1.106400000000000022e-01 4.924000000000000000e+03 5.202657969661577226e+03 5.009552392458779650e+03 5.192836964059149068e+03
1.122299999999999964e-01 4.845600000000000364e+03 5.096121212565937640e+03 4.924347361956234636e+03 5.118389647516130935e+03
1.138500000000000068e-01 4.773300000000000182e+03 4.990653538443226353e+03 4.843248000628829686e+03 5.048474447675481315e+03
1.154799999999999993e-01 4.706399999999999636e+03 4.887560707076881044e+03 4.766068817757318357e+03 4.982530648274509076e+03
1.171399999999999941e-01 4.643699999999999818e+03 4.785578741582754446e+03 4.691524968740814074e+03 4.919626435190633856e+03
1.188300000000000051e-01 4.584199999999999818e+03 4.684760190798961958e+03 4.618888906599072470e+03 4.859050779358624823e+03
1.205399999999999944e-01 4.526600000000000364e+03 4.585724001182543361e+03 4.547467261900917947e+03 4.799865213219657562e+03
1.222700000000000037e-01 4.469699999999999818e+03 4.488463935231508913e+03 4.476474397835863783e+03 4.741280086533749454e+03
1.240300000000000014e-01 4.412100000000000364e+03 4.392434615588266752e+03 4.404838011520137115e+03 4.682316963345907425e+03
1.258199999999999874e-01 4.352699999999999818e+03 4.297674575375152926e+03 4.331918411597164777e+03 4.622318296380995889e+03
1.276299999999999935e-01 4.290600000000000364e+03 4.204724346661926575e+03 4.257437634271741445e+03 4.560820983400817568e+03
1.294700000000000017e-01 4.224699999999999818e+03 4.113078722244914388e+03 4.180631274239306549e+03 4.497147948517953409e+03
1.313300000000000023e-01 4.154399999999999636e+03 4.023241997924727002e+03 4.101472809307684656e+03 4.431076532131215572e+03
1.332200000000000051e-01 4.079000000000000000e+03 3.934734830403075193e+03 4.019504166742765847e+03 4.362263736397654611e+03
1.351300000000000001e-01 3.998099999999999909e+03 3.848027284234983654e+03 3.934865322323709734e+03 4.290537442783014740e+03
1.370800000000000074e-01 3.911699999999999818e+03 3.762231688920349825e+03 3.847355440187840031e+03 4.216145514607863333e+03
1.390500000000000069e-01 3.819900000000000091e+03 3.678245809738270054e+03 3.757615210404470872e+03 4.139130802765815133e+03
1.410500000000000087e-01 3.723400000000000091e+03 3.595637907871003335e+03 3.666032069428657906e+03 4.060147784930855778e+03
1.430800000000000127e-01 3.622800000000000182e+03 3.514420419696316003e+03 3.573112196821524321e+03 3.979587673155152970e+03
1.451399999999999912e-01 3.519099999999999909e+03 3.434603166003073966e+03 3.479554735990298923e+03 3.898118036882885463e+03
1.472299999999999998e-01 3.413800000000000182e+03 3.356193495455435823e+03 3.386283705828295751e+03 3.816779335340719626e+03
1.493500000000000105e-01 3.307900000000000091e+03 3.279196378895471298e+03 3.293909655701118936e+03 3.736039990171590944e+03
1.514999999999999958e-01 3.202800000000000182e+03 3.203614561674555716e+03 3.203205036611939249e+03 3.656671003848607143e+03
1.536700000000000010e-01 3.099900000000000091e+03 3.129783375475993580e+03 3.115054496453533829e+03 3.579304073032324595e+03
1.558900000000000008e-01 3.000500000000000000e+03 3.056697400648553867e+03 3.029563360805264892e+03 3.504784476995623663e+03
1.581299999999999928e-01 2.905800000000000182e+03 2.985357488068339990e+03 2.947745444353843141e+03 3.433386367606886324e+03
1.603999999999999870e-01 2.816800000000000182e+03 2.915423984588054736e+03 2.869797157356007119e+03 3.365582549643191214e+03
1.627099999999999935e-01 2.734199999999999818e+03 2.846597283427459388e+03 2.795748337574586458e+03 3.301612073233203319e+03
1.650500000000000023e-01 2.658699999999999818e+03 2.779181642146374088e+03 2.725913478073371607e+03 3.241709290068633436e+03
1.674299999999999955e-01 2.590300000000000182e+03 2.712892811032786540e+03 2.659961114626089056e+03 3.185673215628526123e+03
1.698399999999999910e-01 2.528900000000000091e+03 2.648011248699491262e+03 2.597820050873465334e+03 3.133291989993905190e+03
1.722799999999999887e-01 2.474099999999999909e+03 2.584523252976295680e+03 2.539142294627093634e+03 3.084260669019237866e+03
1.747599999999999987e-01 2.425199999999999818e+03 2.522166889922358678e+03 2.483330566013039970e+03 3.038126682251267539e+03
1.772700000000000109e-01 2.381400000000000091e+03 2.461190298402450480e+03 2.430068274912951892e+03 2.994511217489657611e+03
1.798200000000000076e-01 2.341500000000000000e+03 2.401345413939564878e+03 2.378631049180135051e+03 2.952783361281306497e+03
1.824099999999999888e-01 2.304199999999999818e+03 2.342637691359349901e+03 2.328452998685638704e+03 2.912360048971434935e+03
1.850400000000000100e-01 2.268000000000000000e+03 2.285070453169323173e+03 2.278950706495301802e+03 2.872582054284432161e+03
1.877000000000000057e-01 2.231800000000000182e+03 2.228852677394708280e+03 2.229878365468674019e+03 2.833198230970018358e+03
1.904000000000000137e-01 2.194099999999999909e+03 2.173761744734871627e+03 2.180626392563917761e+03 2.793550950556269072e+03
1.931400000000000061e-01 2.154099999999999909e+03 2.119796003086360088e+03 2.131015554664085357e+03 2.753534324029803429e+03
1.959200000000000108e-01 2.110800000000000182e+03 2.066952150463522230e+03 2.080835875163296350e+03 2.712799119572905511e+03
1.987400000000000000e-01 2.063900000000000091e+03 2.015225348134071965e+03 2.030131979111743476e+03 2.671413507345773269e+03
2.016000000000000014e-01 2.013200000000000045e+03 1.964609329637487690e+03 1.978988429980248384e+03 2.629364016374174298e+03
2.044999999999999873e-01 1.959099999999999909e+03 1.915096509474853292e+03 1.927666716296770801e+03 2.586907527431584185e+03
2.074400000000000133e-01 1.902200000000000045e+03 1.866678088292547500e+03 1.876463820716435748e+03 2.544267477401240740e+03
2.104199999999999959e-01 1.843400000000000091e+03 1.819344152515689757e+03 1.825728484109989722e+03 2.501728202777546358e+03
2.134500000000000008e-01 1.784000000000000000e+03 1.772933356277571420e+03 1.775759535358755329e+03 2.459729328902540601e+03
2.165199999999999902e-01 1.725200000000000045e+03 1.727595023498460023e+03 1.727007103506437943e+03 2.418575422888648973e+03
2.196400000000000019e-01 1.668099999999999909e+03 1.683176129606226596e+03 1.679623155879422711e+03 2.378470267617356967e+03
2.227999999999999980e-01 1.613799999999999955e+03 1.639812564362538296e+03 1.633933695528369526e+03 2.339656359297947802e+03
2.260000000000000064e-01 1.563299999999999955e+03 1.597489168194881813e+03 1.590087791235828035e+03 2.302363410352451865e+03
2.292599999999999916e-01 1.517200000000000045e+03 1.555939984951422730e+03 1.547918173835883636e+03 2.266605675086091651e+03
2.325500000000000067e-01 1.475500000000000000e+03 1.515537800917298455e+03 1.507616179292077959e+03 2.232278885347140658e+03
2.358999999999999986e-01 1.438200000000000045e+03 1.475903404066841404e+03 1.468786266225451527e+03 2.199262298059259592e+03
2.392900000000000027e-01 1.404900000000000091e+03 1.437268607620201237e+03 1.431446386919398947e+03 2.167493961527363354e+03
2.427400000000000113e-01 1.374700000000000045e+03 1.399399293901830333e+03 1.395172500769019280e+03 2.136618443551011751e+03
2.462300000000000044e-01 1.346799999999999955e+03 1.362507960913674196e+03 1.359953836477203140e+03 2.106599203863745970e+03
2.497699999999999920e-01 1.320099999999999909e+03 1.326474856837415246e+03 1.325491419840802564e+03 2.077173843155185750e+03
2.533699999999999841e-01 1.293500000000000000e+03 1.291195024677990432e+03 1.291531826615843102e+03 2.048100970809729915e+03
2.570100000000000162e-01 1.266099999999999909e+03 1.256854755058021965e+03 1.258132529373412808e+03 2.019353079033449148e+03
2.607099999999999973e-01 1.237299999999999955e+03 1.223254742296360064e+03 1.225087651954054763e+03 1.990806298996931673e+03
2.644599999999999729e-01 1.206700000000000045e+03 1.190479775735812382e+03 1.192475237874422646e+03 1.962468940987967017e+03
2.682700000000000085e-01 1.174099999999999909e+03 1.158435413020937858e+03 1.160248823421316501e+03 1.934255083510409804e+03
2.721299999999999830e-01 1.140099999999999909e+03 1.127197951937835114e+03 1.128601070993114718e+03 1.906383466390854664e+03
2.760400000000000076e-01 1.105099999999999909e+03 1.096754169675193225e+03 1.097605341544499652e+03 1.878852014794889328e+03
2.800099999999999811e-01 1.070000000000000000e+03 1.067017007511847623e+03 1.067301766024731933e+03 1.851753526225657879e+03
2.840400000000000147e-01 1.035500000000000000e+03 1.037980957908955361e+03 1.037759716098344143e+03 1.825109555567328698e+03
2.881299999999999972e-01 1.002600000000000023e+03 1.009639649773790893e+03 1.009054388698397815e+03 1.799047940022338480e+03
2.922799999999999843e-01 9.717200000000000273e+02 9.819859253693725805e+02 9.811918607592972421e+02 1.773532435570878761e+03
2.964800000000000213e-01 9.433099999999999454e+02 9.550747410527386592e+02 9.542297242462100257e+02 1.748635774304898405e+03
3.007500000000000173e-01 9.173799999999999955e+02 9.287695065162589572e+02 9.280116163266641252e+02 1.724243995125619904e+03
3.050700000000000078e-01 8.937200000000000273e+02 9.031845422061838917e+02 9.026022405714695651e+02 1.700404641012818729e+03
3.094600000000000128e-01 8.718500000000000227e+02 8.781918652812412347e+02 8.778319807964278425e+02 1.676986251838477756e+03
3.139199999999999768e-01 8.511399999999999864e+02 8.537881869385616938e+02 8.536499197377534074e+02 1.653938374088103501e+03
3.184299999999999908e-01 8.309299999999999500e+02 8.300724306541326314e+02 8.301135392144341267e+02 1.631301353637605871e+03
3.230100000000000193e-01 8.106299999999999955e+02 8.069284640126047634e+02 8.070909514673576268e+02 1.608964113423489607e+03
3.276600000000000068e-01 7.898099999999999454e+02 7.843510276369604526e+02 7.845698949577119947e+02 1.586908995643121671e+03
3.323800000000000088e-01 7.682799999999999727e+02 7.623341861773044457e+02 7.625513289664967260e+02 1.565131985176587477e+03
3.371600000000000152e-01 7.461299999999999955e+02 7.409153090630210272e+02 7.410883387489409415e+02 1.543679246961218951e+03
3.420099999999999807e-01 7.236499999999999773e+02 7.200399135824472978e+02 7.201484436450183466e+02 1.522522745888134068e+03
3.469300000000000161e-01 7.012599999999999909e+02 6.997006079456134557e+02 6.997429609426087609e+02 1.501671337100907522e+03
3.519200000000000106e-01 6.794500000000000455e+02 6.798895577975061997e+02 6.798788037915541054e+02 1.481135331148757359e+03
3.569899999999999740e-01 6.586499999999999773e+02 6.605611816498136477e+02 6.605191969922934732e+02 1.460885384270142140e+03
3.621199999999999974e-01 6.390900000000000318e+02 6.417831150239711633e+02 6.417301433576252521e+02 1.440985280568699409e+03
3.673299999999999899e-01 6.208500000000000227e+02 6.234731610430901583e+02 6.234271179718178928e+02 1.421361213094170125e+03
3.726200000000000068e-01 6.038200000000000500e+02 6.056263453521618203e+02 6.055981479763830748e+02 1.402006853563391132e+03
3.779799999999999827e-01 5.877000000000000455e+02 5.882688921651616738e+02 5.882610200809079970e+02 1.382944008276826253e+03
3.834199999999999831e-01 5.721499999999999773e+02 5.713605503833605326e+02 5.713701995611012308e+02 1.364131780530309015e+03
3.889299999999999979e-01 5.568200000000000500e+02 5.549242951548294513e+02 5.549446920556752048e+02 1.345594400775913527e+03
3.945299999999999918e-01 5.414500000000000455e+02 5.388938803046936528e+02 5.389179953595241841e+02 1.327263657890991453e+03
4.002100000000000102e-01 5.259700000000000273e+02 5.232927997711143462e+02 5.233148621505889651e+02 1.309171594476245218e+03
4.059699999999999975e-01 5.104200000000000159e+02 5.081138090371228486e+02 5.081303456494432567e+02 1.291316565917368280e+03
4.118100000000000094e-01 4.949599999999999795e+02 4.933494148820182659e+02 4.933594239611236958e+02 1.273697467469912681e+03
4.177299999999999902e-01 4.798600000000000136e+02 4.789919131875051335e+02 4.789965698596659536e+02 1.256314944509967518e+03
4.237400000000000055e-01 4.653000000000000114e+02 4.650106408855316431e+02 4.650119748596373483e+02 1.239138324648367188e+03
4.298399999999999999e-01 4.514300000000000068e+02 4.514003697912661437e+02 4.514004866593991210e+02 1.222167410822536567e+03
4.360200000000000187e-01 4.382900000000000205e+02 4.381764926575622781e+02 4.381768740398811133e+02 1.205427457697065847e+03
4.423000000000000265e-01 4.257599999999999909e+02 4.252903877401876684e+02 4.252917252792665863e+02 1.188862849075000213e+03
4.486600000000000033e-01 4.136999999999999886e+02 4.127770616853287606e+02 4.127792799324204225e+02 1.172524231825699189e+03
4.551200000000000245e-01 4.019399999999999977e+02 4.005908626007916951e+02 4.005935848430264059e+02 1.156359495755644048e+03
4.616600000000000148e-01 3.903299999999999841e+02 3.887630760866235846e+02 3.887657179164149284e+02 1.140416490460481100e+03
4.683100000000000041e-01 3.788299999999999841e+02 3.772339128291094994e+02 3.772361486984902967e+02 1.124622829347798188e+03
4.750499999999999723e-01 3.674599999999999795e+02 3.660334294970987798e+02 3.660350812788330472e+02 1.109026042521666341e+03
4.818799999999999750e-01 3.563199999999999932e+02 3.551546457732023327e+02 3.551557551429455657e+02 1.093624952482848812e+03
4.888100000000000223e-01 3.455000000000000000e+02 3.445755661597750077e+02 3.445762855545696652e+02 1.078396373942964829e+03
4.958500000000000130e-01 3.350799999999999841e+02 3.342766392989706219e+02 3.342771472316451877e+02 1.063319259266410882e+03
5.029799999999999827e-01 3.250799999999999841e+02 3.242816942836616363e+02 3.242821020405127683e+02 1.048436057370430490e+03
5.102200000000000069e-01 3.154599999999999795e+02 3.145570807613487432e+02 3.145574509593757853e+02 1.033704850762246224e+03
5.175600000000000200e-01 3.061600000000000250e+02 3.051113645851606861e+02 3.051117075519733248e+02 1.019146371903959903e+03
5.250099999999999767e-01 2.970799999999999841e+02 2.959266279069299799e+02 2.959269268129707484e+02 1.004741037326370588e+03
5.325600000000000334e-01 2.881999999999999886e+02 2.870100266341039514e+02 2.870102694125210405e+02 9.905084121908678298e+02
5.402200000000000335e-01 2.794900000000000091e+02 2.783444470722942015e+02 2.783446297838257237e+02 9.764296535214542700e+02
5.480000000000000426e-01 2.709700000000000273e+02 2.699146130072813321e+02 2.699147436251209342e+02 9.624876698067380403e+02
5.558800000000000407e-01 2.626999999999999886e+02 2.617373781397925541e+02 2.617374699444827684e+02 9.487187319673802222e+02
5.638800000000000479e-01 2.546899999999999977e+02 2.537870381874807890e+02 2.537871040321111309e+02 9.350881901227551225e+02
5.719899999999999984e-01 2.469600000000000080e+02 2.460691495065631216e+02 2.460691988006673512e+02 9.216139367103145332e+02
5.802199999999999580e-01 2.394799999999999898e+02 2.385696847957069622e+02 2.385697227095522521e+02 9.082800823683121507e+02
5.885700000000000376e-01 2.322299999999999898e+02 2.312846265144204381e+02 2.312846559061366349e+02 8.950878471020002962e+02
5.970400000000000151e-01 2.251699999999999875e+02 2.242098340346564953e+02 2.242098561302010182e+02 8.820382788643461254e+02
6.056300000000000017e-01 2.182800000000000011e+02 2.173410648011782200e+02 2.173410806564221502e+02 8.691322670084954325e+02
6.143399999999999972e-01 2.115699999999999932e+02 2.106739938987723804e+02 2.106740049037392737e+02 8.563705476166744575e+02
6.231799999999999562e-01 2.050500000000000114e+02 2.041970636985187184e+02 2.041970712468791760e+02 8.437396029562009971e+02
6.321499999999999897e-01 1.987199999999999989e+02 1.979067593580018922e+02 1.979067644941961532e+02 8.312409500053365718e+02
6.412400000000000322e-01 1.925999999999999943e+02 1.918060215441904006e+02 1.918060250892319516e+02 8.188893646114660214e+02
6.504699999999999926e-01 1.866699999999999875e+02 1.858777212400700876e+02 1.858777237149896280e+02 8.066588822106357384e+02
6.598300000000000276e-01 1.809099999999999966e+02 1.801249294593071113e+02 1.801249311576025889e+02 7.945643243395526270e+02
6.693200000000000260e-01 1.753199999999999932e+02 1.745437994243677053e+02 1.745438005750517334e+02 7.826066138173748641e+02
6.789500000000000535e-01 1.698700000000000045e+02 1.691249377851833913e+02 1.691249385337582964e+02 7.707744024057965362e+02
6.887199999999999989e-01 1.645900000000000034e+02 1.638651405564934862e+02 1.638651410445104659e+02 7.590692490741791971e+02
6.986299999999999732e-01 1.594600000000000080e+02 1.587611269479134251e+02 1.587611272595790126e+02 7.474925404670279931e+02
7.086799999999999766e-01 1.544900000000000091e+02 1.538095543128578129e+02 1.538095545114929905e+02 7.360455002845083072e+02
7.188799999999999635e-01 1.496699999999999875e+02 1.490024232541281890e+02 1.490024233801082403e+02 7.247182322873317162e+02
7.292199999999999793e-01 1.449900000000000091e+02 1.443413191462565521e+02 1.443413192244203458e+02 7.135231736771540909e+02
