# k P_{11} P_{nw} P_{m,LO}, P_{m,NLO}
1.358300000000000002e-03 5.092000000000000000e+03 5.090782470541163093e+03 5.091999932701970465e+03 5.091809014824476435e+03
1.377900000000000045e-03 5.158500000000000000e+03 5.157538375849568183e+03 5.158499945301945445e+03 5.158300921900570756e+03
1.397699999999999984e-03 5.225800000000000182e+03 5.224810986121384303e+03 5.225799942115660997e+03 5.225592534848371542e+03
1.417800000000000093e-03 5.293800000000000182e+03 5.292934049222260001e+03 5.293799947850092394e+03 5.293583788861750691e+03
1.438199999999999939e-03 5.362699999999999818e+03 5.361900224525727936e+03 5.362699950439387067e+03 5.362474676847884439e+03
1.458899999999999954e-03 5.432399999999999636e+03 5.431702072385680367e+03 5.432399955496818620e+03 5.432165181640983064e+03
1.479899999999999922e-03 5.502800000000000182e+03 5.502332058983846764e+03 5.502799969296698691e+03 5.502555285013285356e+03
1.501200000000000060e-03 5.574199999999999818e+03 5.573782550066563090e+03 5.574199971815501158e+03 5.573944981964750696e+03
1.522799999999999935e-03 5.646300000000000182e+03 5.646045837490672966e+03 5.646299982342647127e+03 5.646034248853081408e+03
1.544699999999999979e-03 5.719300000000000182e+03 5.719114089117150797e+03 5.719299986710120720e+03 5.719023079443993083e+03
1.566899999999999977e-03 5.793100000000000364e+03 5.792979411098094715e+03 5.793099991130127819e+03 5.792811457296253138e+03
1.589499999999999984e-03 5.867800000000000182e+03 5.867965128631779407e+03 5.867800012498862088e+03 5.867499304888659935e+03
1.612399999999999944e-03 5.943300000000000182e+03 5.943729929056758920e+03 5.943300033486436405e+03 5.942986665510148669e+03
1.635600000000000075e-03 6.019699999999999818e+03 6.020265597099516526e+03 6.019700045330179819e+03 6.019373524662314594e+03
1.659099999999999941e-03 6.096899999999999636e+03 6.097563841742616205e+03 6.096900054743838155e+03 6.096559859576802410e+03
1.683000000000000034e-03 6.175000000000000000e+03 6.175943728210857444e+03 6.175000080082977547e+03 6.174645582050886333e+03
1.707200000000000080e-03 6.254100000000000364e+03 6.255067333485594645e+03 6.254100084463590065e+03 6.253730750339646875e+03
1.731700000000000080e-03 6.334000000000000000e+03 6.334926066492883365e+03 6.334000083197724052e+03 6.333615339925428088e+03
1.756699999999999928e-03 6.414699999999999818e+03 6.416160099611674013e+03 6.414700134989840080e+03 6.414299172947895386e+03
1.781900000000000107e-03 6.496399999999999636e+03 6.497784304718039493e+03 6.496400131680409686e+03 6.495982474349691984e+03
1.807599999999999919e-03 6.579000000000000000e+03 6.580759932482890690e+03 6.579000172275249497e+03 6.578564972083490829e+03
1.833599999999999900e-03 6.662500000000000000e+03 6.664429107278824631e+03 6.662500194306432604e+03 6.662046806373413347e+03
1.860000000000000108e-03 6.746899999999999636e+03 6.749102939160441565e+03 6.746900228322838302e+03 6.746427868981405481e+03
1.886700000000000052e-03 6.832300000000000182e+03 6.834449874538480799e+03 6.832300229265722919e+03 6.831808231386240550e+03
1.913900000000000063e-03 6.918600000000000364e+03 6.921096648336998442e+03 6.918600273977879624e+03 6.918087681992615217e+03
1.941400000000000027e-03 7.005800000000000182e+03 7.008393440241916323e+03 7.005800292836526751e+03 7.005266377643160013e+03
1.969299999999999783e-03 7.093899999999999636e+03 7.096646515632552109e+03 7.093900319097996544e+03 7.093344196486378678e+03
1.997699999999999823e-03 7.183000000000000000e+03 7.186157491774690243e+03 7.183000377502885385e+03 7.182421012135353521e+03
2.026399999999999816e-03 7.273000000000000000e+03 7.276282872869162020e+03 7.273000403851011470e+03 7.272396988768549818e+03
2.055599999999999875e-03 7.364000000000000000e+03 7.367637420991104591e+03 7.364000460454549284e+03 7.363371897935806373e+03
2.085099999999999888e-03 7.455899999999999636e+03 7.459581997937592860e+03 7.455900479570547759e+03 7.455245913530580765e+03
2.115099999999999966e-03 7.548800000000000182e+03 7.552726390152683052e+03 7.548800526222761619e+03 7.548118792447380656e+03
2.145600000000000111e-03 7.642699999999999818e+03 7.647053279554500477e+03 7.642700600381911499e+03 7.641990489694544522e+03
2.176500000000000049e-03 7.737600000000000364e+03 7.742237702203869958e+03 7.737600658162075888e+03 7.736861077072021544e+03
2.207800000000000214e-03 7.833399999999999636e+03 7.838265660546445361e+03 7.833400710514630191e+03 7.832630512325674317e+03
2.239500000000000171e-03 7.930199999999999818e+03 7.935123024741640620e+03 7.930200739681905361e+03 7.929398771269038662e+03
2.271800000000000035e-03 8.027899999999999636e+03 8.033402815155443022e+03 8.027900850814748992e+03 8.027065562779828724e+03
2.304399999999999851e-03 8.126699999999999818e+03 8.132175903222335364e+03 8.126700871124887271e+03 8.125831243270656159e+03
2.337600000000000008e-03 8.226399999999999636e+03 8.232334755806352405e+03 8.226400971518718507e+03 8.225495368171850714e+03
2.371199999999999957e-03 8.327200000000000728e+03 8.333257394734688205e+03 8.327201020302947654e+03 8.326258163307917130e+03
2.405399999999999813e-03 8.428899999999999636e+03 8.435525753590411114e+03 8.428901148459603064e+03 8.427919282223214395e+03
2.439999999999999895e-03 8.531700000000000728e+03 8.538522792138528530e+03 8.531701216876577746e+03 8.530678962049367328e+03
2.475100000000000043e-03 8.635399999999999636e+03 8.642529057797602945e+03 8.635401308341906770e+03 8.634336996081634425e+03
2.510699999999999824e-03 8.740100000000000364e+03 8.747525230718323655e+03 8.740101402174484974e+03 8.738993346730807389e+03
2.546800000000000105e-03 8.845799999999999272e+03 8.853491815309756930e+03 8.845801494582194209e+03 8.844647969459467276e+03
